Rank,Link,Site
1,/siteinfo/naver.com,Naver.com
2,/siteinfo/youtube.com,Youtube.com
3,/siteinfo/google.co.kr,Google.co.kr
4,/siteinfo/google.com,Google.com
5,/siteinfo/daum.net,Daum.net
6,/siteinfo/tistory.com,Tistory.com
7,/siteinfo/namu.wiki,Namu.wiki
8,/siteinfo/facebook.com,Facebook.com
9,/siteinfo/dcinside.com,Dcinside.com
10,/siteinfo/wikipedia.org,Wikipedia.org
11,/siteinfo/gmarket.co.kr,Gmarket.co.kr
12,/siteinfo/twitter.com,Twitter.com
13,/siteinfo/ruliweb.com,Ruliweb.com
14,/siteinfo/blog.me,Blog.me
15,/siteinfo/instagram.com,Instagram.com
16,/siteinfo/twitch.tv,Twitch.tv
17,/siteinfo/11st.co.kr,11st.co.kr
18,/siteinfo/auction.co.kr,Auction.co.kr
19,/siteinfo/baidu.com,Baidu.com
20,/siteinfo/inven.co.kr,Inven.co.kr
21,/siteinfo/donga.com,Donga.com
22,/siteinfo/qq.com,Qq.com
23,/siteinfo/tmall.com,Tmall.com
24,/siteinfo/amazon.com,Amazon.com
25,/siteinfo/taobao.com,Taobao.com
26,/siteinfo/marumaru.in,Marumaru.in
27,/siteinfo/kakao.com,Kakao.com
28,/siteinfo/torrenthaja.com,Torrenthaja.com
29,/siteinfo/coupang.com,Coupang.com
30,/siteinfo/t.co,T.co
31,/siteinfo/afreecatv.com,Afreecatv.com
32,/siteinfo/wasabisyrup.com,Wasabisyrup.com
33,/siteinfo/nate.com,Nate.com
34,/siteinfo/etoland.co.kr,Etoland.co.kr
35,/siteinfo/netflix.com,Netflix.com
36,/siteinfo/clien.net,Clien.net
37,/siteinfo/nicovideo.jp,Nicovideo.jp
38,/siteinfo/danawa.com,Danawa.com
39,/siteinfo/interpark.com,Interpark.com
40,/siteinfo/sohu.com,Sohu.com
41,/siteinfo/ilbe.com,Ilbe.com
42,/siteinfo/blogspot.com,Blogspot.com
43,/siteinfo/microsoft.com,Microsoft.com
44,/siteinfo/tumblr.com,Tumblr.com
45,/siteinfo/apple.com,Apple.com
46,/siteinfo/torrentmap.com,Torrentmap.com
47,/siteinfo/nexon.com,Nexon.com
48,/siteinfo/wemakeprice.com,Wemakeprice.com
49,/siteinfo/aliexpress.com,Aliexpress.com
50,/siteinfo/joins.com,Joins.com
